,RegionSalesCar,2014 Q4,2014 Q3,Quarter_Rev,2013 Q4,principal,pmt,t_i,pti,min_inc,HAI
1,CA SFH (SAAR),383919.5,468220,r,367404,345527.55,1359.868269,441.507425,1801.375694,54041.27081,0.535241663
2,CA Condo/Townhomes,313531,346850,r,293394.5,282177.9,1110.547545,360.56065,1471.108195,44133.24584,0.612339922
3,Los Angeles Metropolitan Area,351934,391330,NA,336948.5,316740.6,1246.573512,404.7241,1651.297612,49538.92835,0.555024221
4,Inland Empire,236070.5,266410,NA,224051.5,212463.45,836.1773291,271.481075,1107.658404,33229.75212,0.675744797
5,S.F. Bay Area,632323.5,679780,r,573384.5,569091.15,2239.731671,727.172025,2966.903696,89007.11087,0.439065035
6,United States,177100,191100,,167365,159390,627.2999167,203.665,830.9649167,24928.9475,0.757896602
7,Alameda,597864.5,632630,NA,532499.5,538078.05,2117.675613,687.544175,2805.219788,84156.59364,0.424907876
8,Contra-Costa,406614.5,438490,r," $383,724 ",365953.05,1440.25546,467.606675,1907.862135,57235.86405,0.61521618
9,Marin,858177,994620,NA,795353.5,772359.3,3039.71971,986.90355,4026.62326,120798.6978,0.307364347
10,Napa,493884,506940,NA,420002,444495.6,1749.369803,567.9666,2317.336403,69520.09208,0.471900113
11,San Francisco,968422,974770,NA,742271,871579.8,3430.214794,1113.6853,4543.900094,136317.0028,0.257265408
12,San Mateo,892500,1045500,NA,794750,803250,3161.294047,1026.375,4187.669047,125630.0714,0.346842086
13,Santa Clara,726750,808000,NA,658750,654075,2574.196581,835.7625,3409.959081,102298.7724,0.442528727
14,Solano,278451.5,298370,NA,246330,250606.35,986.293635,320.219225,1306.51286,39195.3858,0.711096649
15,Sonoma,420274,479750,NA,396380.5,378246.6,1488.638313,483.3151,1971.953413,59158.60238,0.531736207
16,Los Angeles,383248,406210,NA,359813.5,344923.2,1357.489771,440.7352,1798.224971,53946.74914,0.499053204
17,Orange County,585182.5,669780,NA,566346.5,526664.25,2072.75513,672.959875,2745.715005,82371.45015,0.449291953
18,Riverside County,273368.5,309190,r,258383,246031.65,968.2893127,314.373775,1282.663088,38479.89263,0.630626021
19,San Bernardino,180463.5,188520,NA,164602.5,162417.15,639.2136562,207.533025,846.7466812,25402.40044,0.751224762
20,San Diego,419143.5,483030,NA,405271.5,377229.15,1484.634007,482.015025,1966.649032,58999.47096,0.511185524
21,Ventura,483811.5,549930,NA,458090.5,435430.35,1713.692341,556.383225,2270.075566,68102.26699,0.541139778
22,Monterey,383817.5,477000,NA,358912.5,345435.75,1359.506978,441.390125,1800.897103,54026.91309,0.50680266
23,San Luis Obispo,397800,476980,NA,401166,358020,1409.033918,457.47,1866.503918,55995.11754,0.492052554
24,Santa Barbara,532414.5,647890,NA,527671.5,479173.05,1885.847383,612.276675,2498.124058,74943.72174,0.421284958
25,Santa Cruz,595042.5,615000,NA,543150,535538.25,2107.679902,684.298875,2791.978777,83759.36332,0.381965583
26,Fresno,171564,189720,NA,159919,154407.6,607.6910385,197.2986,804.9896385,24149.68915,0.718874079
27,Kings County,153892.5,173570,NA,145239.5,138503.25,545.0974163,176.976375,722.0737913,21662.21374,0.803245643
28,Madera,186745,193570,NA,133569,168070.5,661.4631448,214.75675,876.2198948,26286.59684,0.704985715
29,Merced,155516,158440,NA,136425,139964.4,550.8479607,178.8434,729.6913607,21890.74082,0.738314948
30,Placer County,323034,366670,NA,307972,290730.6,1144.2078,371.4891,1515.6969,45470.90699,0.664615079
31,Sacramento,228361,255840,NA,212806,205524.9,808.8697701,262.61515,1071.48492,32144.5476,0.695516442
32,San Benito,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,San Joaquin,221833,237890,NA,NA,199649.7,785.7471622,255.10795,1040.855112,31225.65337,0.636091093
34,Stanislaus,194769,212050,NA,NA,175292.1,689.8846837,223.98435,913.8690337,27416.07101,0.672337033
35,Tulare,153807.5,164000,NA,137020,138426.75,544.7963407,176.878625,721.6749657,21650.24897,0.759383495
36,Amador,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Butte County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,El Dorado County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,Humboldt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,Lake County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Mariposa And Tuolumne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Mendocino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,Shasta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,Siskiyou County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Sutter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,Tehama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,Yolo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,Yuba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
