,RegionSalesCar,2014 Q4,2014 Q3,Quarter_Rev,2013 Q4,principal,pmt,t_i,pti,min_inc,HAI
1,CA SFH (SAAR),451670,468220,r,432240,361336,1766.995095,519.4205,2286.415595,91456.62379,0.313422592
2,CA Condo/Townhomes,368860,346850,r,345170,295088,1443.030998,424.189,1867.219998,74688.7999,0.394987127
3,Los Angeles Metropolitan Area,414040,391330,NA,396410,331232,1619.781365,476.146,2095.927365,83837.09459,0.336361001
4,Inland Empire,277730,266410,NA,263590,222184,1086.517917,319.3895,1405.907417,56236.29669,0.467628669
5,S.F. Bay Area,743910,679780,r,674570,595128,2910.278126,855.4965,3765.774626,150630.985,0.212123467
6,United States,208400,191100,,196900,166720,815.289432,239.66,1054.949432,42197.97728,0.58595262
7,Alameda,703370,632630,NA,626470,562696,2751.680076,808.8755,3560.555576,142422.223,0.200877244
8,Contra-Costa,478370,438490,r," $451,440 ",382696,1871.449163,550.1255,2421.574663,96862.98652,0.400475373
9,Marin,1009620,994620,NA,935710,807696,3949.772151,1161.063,5110.835151,204433.4061,0.149489383
10,Napa,581040,506940,NA,494120,464832,2273.108309,668.196,2941.304309,117652.1724,0.240652462
11,San Francisco,1139320,974770,NA,873260,911456,4457.176371,1310.218,5767.394371,230695.7748,0.109508681
12,San Mateo,1050000,1045500,NA,935000,840000,4107.744259,1207.5,5315.244259,212609.7704,0.15392499
13,Santa Clara,855000,808000,NA,775000,684000,3344.877468,983.25,4328.127468,173125.0987,0.217541339
14,Solano,327590,298370,NA,289800,262072,1281.577087,376.7285,1658.305587,66332.2235,0.496871798
15,Sonoma,494440,479750,NA,466330,395552,1934.317211,568.606,2502.923211,100116.9284,0.289229891
16,Los Angeles,450880,406210,NA,423310,360704,1763.904506,518.512,2282.416506,91296.66025,0.280583161
17,Orange County,688450,669780,NA,666290,550760,2693.310986,791.7175,3485.028486,139401.1394,0.208514881
18,Riverside County,321610,309190,r,303980,257288,1258.182506,369.8515,1628.034006,65121.36024,0.412094672
19,San Bernardino,212310,188520,NA,193650,169848,830.5858892,244.1565,1074.742389,42989.69557,0.571690625
20,San Diego,493110,483030,NA,476790,394488,1929.114068,567.0765,2496.190568,99847.62273,0.271760501
21,Ventura,569190,549930,NA,538930,455352,2226.749481,654.5685,2881.317981,115252.7192,0.293595243
22,Monterey,451550,477000,NA,422250,361240,1766.525638,519.2825,2285.808138,91432.32553,0.271721717
23,San Luis Obispo,468000,476980,NA,471960,374400,1830.880298,538.2,2369.080298,94763.21194,0.260508372
24,Santa Barbara,626370,647890,NA,620790,501096,2450.445497,720.3255,3170.770997,126830.8399,0.207684196
25,Santa Cruz,700050,615000,NA,639000,560040,2738.69178,805.0575,3543.74928,141749.9712,0.168011475
26,Fresno,201840,189720,NA,188140,161472,789.6258107,232.116,1021.741811,40869.67243,0.533091789
27,Kings County,181050,173570,NA,170870,144840,708.2924744,208.2075,916.4999744,36659.99898,0.640240684
28,Madera,219700,193570,NA,157140,175760,859.4965845,252.655,1112.151585,44486.06338,0.496532132
29,Merced,182960,158440,NA,160500,146368,715.7646568,210.404,926.1686568,37046.74627,0.527337009
30,Placer County,380040,366670,NA,362320,304032,1486.768694,437.046,1923.814694,76952.58774,0.4509014
31,Sacramento,268660,255840,NA,250360,214928,1051.034831,308.959,1359.993831,54399.75324,0.491456223
32,San Benito,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,San Joaquin,260980,237890,NA,NA,208784,1020.989616,300.127,1321.116616,52844.66464,0.409710659
34,Stanislaus,229140,212050,NA,NA,183312,896.4271615,263.511,1159.938161,46397.52646,0.44460779
35,Tulare,180950,164000,NA,161200,144760,707.9012607,208.0925,915.9937607,36639.75043,0.559014008
36,Amador,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Butte County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,El Dorado County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,Humboldt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,Lake County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Mariposa And Tuolumne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Mendocino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,Shasta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,Siskiyou County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Sutter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,Tehama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,Yolo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,Yuba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
