,RegionSalesCar,2014 Q2,2014 Q1,Quarter_Rev,2013 Q2,principal,pmt,t_i,pti,min_inc,HAI
1,CA SFH (SAAR),456680,418570,NA,415630,365344,1812.276227,525.182,2337.458227,93498.3291,0.30068824
2,CA Condo/Townhomes,372550,346850,NA,333730,298040,1478.417072,428.4325,1906.849572,76273.98289,0.383881833
3,Los Angeles Metropolitan Area,418030,391330,NA,381720,334424,1658.898641,480.7345,2139.633141,85585.32564,0.325308926
4,Inland Empire,274610,266410,NA,239640,219688,1089.754697,315.8015,1405.556197,56222.24786,0.466152559
5,S.F. Bay Area,772330,679780,NA,698690,617864,3064.89292,888.1795,3953.07242,158122.8968,0.195046384
6,United States,212000,191100,NA,203400,169600,841.2949116,243.8,1085.094912,43403.79646,0.573586919
7,Alameda,737390,632630,NA,640020,589912,2926.237995,847.9985,3774.236495,150969.4598,0.176116623
8,Contra-Costa,507150,438490,NA,480130,405720,2012.559974,583.2225,2595.782474,103831.2989,0.365424397
9,Marin,1033850,994620,NA,972450,827080,4102.701624,1188.9275,5291.629124,211665.165,0.144857313
10,Napa,563120,506940,NA,481820,450496,2234.669767,647.588,2882.257767,115290.3107,0.246312431
11,San Francisco,1154070,974770,NA,902420,923256,4579.779333,1327.1805,5906.959833,236278.3933,0.103330369
12,San Mateo,1088800,1045500,NA,960000,871040,4320.763678,1252.12,5572.883678,222915.3471,0.141013208
13,Santa Clara,899500,808000,NA,808500,719600,3569.550816,1034.425,4603.975816,184159.0326,0.189279529
14,Solano,317650,298370,NA,265900,254120,1260.553437,365.2975,1625.850937,65034.03748,0.50367691
15,Sonoma,488270,479750,NA,442710,390616,1937.637106,561.5105,2499.147606,99965.90424,0.285458974
16,Los Angeles,420270,406210,NA,378390,336216,1667.787795,483.3105,2151.098295,86043.93179,0.30230313
17,Orange County,691860,669780,NA,657080,553488,2745.558007,795.639,3541.197007,141647.8803,0.199223327
18,Riverside County,318720,309190,NA,285020,254976,1264.799595,366.528,1631.327595,65253.10381,0.409344875
19,San Bernardino,206530,188520,NA,169760,165224,819.5879155,237.5095,1057.097416,42283.89662,0.577283692
20,San Diego,504180,483030,NA,469040,403344,2000.773908,579.807,2580.580908,103223.2363,0.256319852
21,Ventura,571670,549930,NA,522410,457336,2268.59935,657.4205,2926.01985,117040.794,0.281729902
22,Monterey,460000,477000,NA,393250,368000,1825.451223,529,2354.451223,94178.04893,0.256219879
23,San Luis Obispo,485930,476980,NA,446630,388744,1928.351115,558.8195,2487.170615,99486.8246,0.234044437
24,Santa Barbara,674420,647890,NA,658200,539536,2676.349596,775.583,3451.932596,138077.3038,0.175082995
25,Santa Cruz,665000,615000,NA,620000,532000,2638.967529,764.75,3403.717529,136148.7012,0.178744128
26,Fresno,197900,189720,NA,171950,158320,785.3408632,227.585,1012.925863,40517.03453,0.534167301
27,Kings County,177240,173570,NA,150770,141792,703.354293,203.826,907.180293,36287.21172,0.639095192
28,Madera,214130,193570,NA,150910,171304,849.7475444,246.2495,1095.997044,43839.88178,0.50189322
29,Merced,163930,158440,NA,148460,131144,650.5352587,188.5195,839.0547587,33562.19035,0.566711957
30,Placer County,380720,366670,NA,359210,304576,1510.838673,437.828,1948.666673,77946.66693,0.442410783
31,Sacramento,270950,255840,NA,236980,216760,1075.230454,311.5925,1386.822954,55472.91817,0.480897046
32,San Benito,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,San Joaquin,256200,237890,NA,NA,204960,1016.696964,294.63,1311.326964,52453.07856,0.402627148
34,Stanislaus,222830,212050,NA,NA,178264,884.2723828,256.2545,1140.526883,45621.07531,0.44727083
35,Tulare,175630,164000,NA,152730,140504,696.9652138,201.9745,898.9397138,35957.58855,0.563416845
36,Amador,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Butte County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,El Dorado County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,Humboldt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,Lake County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Mariposa And Tuolumne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Mendocino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,Shasta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,Siskiyou County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Sutter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,Tehama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,Yolo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,Yuba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
