"","X1","region","Quarter","Price","QuarterEnding","pmt","principal","t_i","pti","min_inc","HAI"
"17",NA,"ARCADIA","2018-Q2",1107500,"2018-04-01",4595.13099163238,886000,1273.625,5868.75599163238,234750.239665295,0.139629905790431
"18",NA,"ARCATA","2018-Q2",344453,"2018-04-01",1429.17079499842,275562.4,396.12095,1825.29174499842,73011.6697999367,0.223848058002107
"19",NA,"ARNOLD","2018-Q2",295000,"2018-04-01",1223.9852302768,236000,339.25,1563.2352302768,62529.4092110718,0.458635623597129
"20",NA,"ARROYO GRANDE","2018-Q2",652500,"2018-04-01",2707.28936527325,522000,750.375,3457.66436527325,138306.57461093,0.227515285038249
"21",NA,"ATASCADERO","2018-Q2",5e+05,"2018-04-01",2074.55123775728,4e+05,575,2649.55123775728,105982.049510291,0.316087124728175
"22",NA,"ATWATER","2018-Q2",270000,"2018-04-01",1120.25766838893,216000,310.5,1430.75766838893,57230.3067355573,0.402923343701692
"23",NA,"AUBURN","2018-Q2",499900,"2018-04-01",2074.13632750973,399920,574.885,2649.02132750973,105960.853100389,0.26564003408407
"24",NA,"AZUSA","2018-Q2",448500,"2018-04-01",1860.87246026828,358800,515.775,2376.64746026828,95065.8984107312,0.330450453179121
"25",NA,"BAKERSFIELD","2018-Q2",239900,"2018-04-01",995.369683875943,191920,275.885,1271.25468387594,50850.1873550377,0.591077106149097
"26",NA,"BALDWIN PARK","2018-Q2",421500,"2018-04-01",1748.84669342939,337200,484.725,2233.57169342939,89342.8677371755,0.285511688094083
"27",NA,"BANNING","2018-Q2",260000,"2018-04-01",1078.76664363379,208000,299,1377.76664363379,55110.6657453514,0.423428796498215
"28",NA,"BARSTOW","2018-Q2",144999,"2018-04-01",601.615709847136,115999.2,166.74885,768.364559847136,30734.5823938854,0.597928346098596
"29",NA,"BAY POINT","2018-Q2",5e+05,"2018-04-01",2074.55123775728,4e+05,575,2649.55123775728,105982.049510291,0.208606194231925
"30",NA,"BEAUMONT","2018-Q2",333000,"2018-04-01",1381.65112434635,266400,382.95,1764.60112434635,70584.0449738539,0.518520286847543
"31",NA,"BELMONT","2018-Q2",1761750,"2018-04-01",7309.68128623778,1409400,2026.0125,9335.69378623777,373427.751449511,0.175550987097973
"32",NA,"BENICIA","2018-Q2",655000,"2018-04-01",2717.66212146204,524000,753.25,3470.91212146204,138836.484858481,0.332015666653506
"33",NA,"BERKELEY","2018-Q2",1325000,"2018-04-01",5497.56078005679,1060000,1523.75,7021.31078005679,280852.431202272,0.118971051892967
"34",NA,"BERMUDA DUNES","2018-Q2",328921.5,"2018-04-01",1364.72900989996,263137.2,378.259725,1742.98873489996,69719.5493959985,0.483496214449755
"35",NA,"BLOOMINGTON","2018-Q2",342500,"2018-04-01",1421.06759786374,274000,393.875,1814.94259786374,72597.7039145495,0.354334440675904
"36",NA,"BONITA","2018-Q2",710000,"2018-04-01",2945.86275761534,568000,816.5,3762.36275761534,150494.510304613,0.26364982750146
"37",NA,"BOULDER CREEK","2018-Q2",620000,"2018-04-01",2572.44353481903,496000,713,3285.44353481903,131417.741392761,0.244119439281369
"38",NA,"BREA","2018-Q2",699999,"2018-04-01",2904.36758375772,559999.2,804.99885,3709.36643375772,148374.657350309,0.265698066004654
"39",NA,"BRENTWOOD","2018-Q2",595000,"2018-04-01",2468.71597293116,476000,684.25,3152.96597293116,126118.638917247,0.407588079965749
"40",NA,"BUENA PARK","2018-Q2",585500,"2018-04-01",2429.29949941377,468400,673.325,3102.62449941377,124104.979976551,0.229681860990341
"41",NA,"BURBANK","2018-Q2",806500,"2018-04-01",3346.25114650249,645200,927.475,4273.72614650249,170949.0458601,0.316062229597217
"42",NA,"BURLINGAME","2018-Q2",2337500,"2018-04-01",9698.52703651528,1870000,2688.125,12386.6520365153,495466.081460611,0.119335126686657
"43",NA,"CALABASAS","2018-Q2",1149000,"2018-04-01",4767.31874436623,919200,1321.35,6088.66874436623,243546.749774649,0.258672755589981
"44",NA,"CALIFORNIA CITY","2018-Q2",154900,"2018-04-01",642.695973457205,123920,178.135,820.830973457205,32833.2389382882,0.67285036335161
"45",NA,"CAMARILLO","2018-Q2",620500,"2018-04-01",2574.51808605678,496400,713.575,3288.09308605678,131523.723442271,0.356635886718966
"46",NA,"CAMBRIA","2018-Q2",752750,"2018-04-01",3123.23688844359,602200,865.6625,3988.89938844358,159555.975537743,0.152862356067658
"47",NA,"CAMERON PARK","2018-Q2",492400,"2018-04-01",2043.01805894337,393920,566.26,2609.27805894337,104371.122357735,0.420309170613771
"48",NA,"CAMPBELL","2018-Q2",1430000,"2018-04-01",5933.21653998582,1144000,1644.5,7577.71653998582,303108.661599433,0.131840767238613
"49",NA,"CANYON LAKE","2018-Q2",477500,"2018-04-01",1981.1964320582,382000,549.125,2530.3214320582,101212.857282328,0.356853567024766
"50",NA,"CARLSBAD","2018-Q2",875000,"2018-04-01",3630.46466607524,7e+05,1006.25,4636.71466607524,185468.58664301,0.248741097220036
"51",NA,"CARMICHAEL","2018-Q2",416500,"2018-04-01",1728.10118105181,333200,478.975,2207.07618105181,88283.0472420726,0.377969324854295
"52",NA,"CARSON","2018-Q2",545000,"2018-04-01",2261.26084915544,436000,626.75,2888.01084915544,115520.433966217,0.310162851722675
"53",NA,"CASTRO VALLEY","2018-Q2",895000,"2018-04-01",3713.44671558553,716000,1029.25,4742.69671558553,189707.868623421,0.215600712610147
"54",NA,"CATHEDRAL CITY","2018-Q2",292000,"2018-04-01",1211.53792285025,233600,335.8,1547.33792285025,61893.5169140101,0.393546567045534
"55",NA,"CERES","2018-Q2",297000,"2018-04-01",1232.28343522782,237600,341.55,1573.83343522782,62953.337409113,0.465731571255851
"56",NA,"CHICO","2018-Q2",339000,"2018-04-01",1406.54573919944,271200,389.85,1796.39573919944,71855.8295679774,0.362119102667759
"57",NA,"CHINO","2018-Q2",480000,"2018-04-01",1991.56918824699,384000,552,2543.56918824699,101742.76752988,0.368976023304228
"58",NA,"CHINO HILLS","2018-Q2",639900,"2018-04-01",2655.01067408177,511920,735.885,3390.89567408177,135635.826963271,0.351795248135213
"59",NA,"CHOWCHILLA","2018-Q2",235000,"2018-04-01",975.039081745922,188000,270.25,1245.28908174592,49811.5632698369,0.40696455658357
"60",NA,"CHULA VISTA","2018-Q2",5e+05,"2018-04-01",2074.55123775728,4e+05,575,2649.55123775728,105982.049510291,2.46284479347281
"61",NA,"CITRUS HEIGHTS","2018-Q2",330900,"2018-04-01",1372.93800914777,264720,380.535,1753.47300914777,70138.9203659107,0.400220003124905
"62",NA,"CLAREMONT","2018-Q2",682500,"2018-04-01",2831.76243953869,546000,784.875,3616.63743953869,144665.497581548,0.328357630261186
"63",NA,"CLAYTON","2018-Q2",772500,"2018-04-01",3205.181662335,618000,888.375,4093.556662335,163742.2664934,0.41109908762216
"64",NA,"CLEARLAKE","2018-Q2",153500,"2018-04-01",636.887229991485,122800,176.525,813.412229991485,32536.4891996594,0.445524667605262
"65",NA,"CLOVERDALE","2018-Q2",553500,"2018-04-01",2296.52822019731,442800,636.525,2933.05322019731,117322.128807892,0.278256948928457
"66",NA,"CLOVIS","2018-Q2",340000,"2018-04-01",1410.69484167495,272000,391,1801.69484167495,72067.793666998,0.504044946818042
"67",NA,"COACHELLA","2018-Q2",253500,"2018-04-01",1051.79747754294,202800,291.525,1343.32247754294,53732.8991017176,0.377287499726465
"68",NA,"COALINGA","2018-Q2",217375,"2018-04-01",901.911150614977,173900,249.98125,1151.89240061498,46075.6960245991,0.571694868461235
"69",NA,"COARSEGOLD","2018-Q2",310000,"2018-04-01",1286.22176740951,248000,356.5,1642.72176740951,65708.8706963805,0.44115437014731
"70",NA,"COLFAX","2018-Q2",336250,"2018-04-01",1395.13570739177,269000,386.6875,1781.82320739177,71272.9282956708,0.495282916599476
"71",NA,"COLTON","2018-Q2",3e+05,"2018-04-01",1244.73074265437,240000,345,1589.73074265437,63589.2297061747,0.352942244445971
"72",NA,"COMPTON","2018-Q2",390000,"2018-04-01",1618.14996545068,312000,448.5,2066.64996545068,82665.9986180271,0.257143559230815
"73",NA,"CONCORD","2018-Q2",619000,"2018-04-01",2568.29443234351,495200,711.85,3280.14443234351,131205.777293741,0.272923022207434
"74",NA,"COPPEROPOLIS","2018-Q2",333000,"2018-04-01",1381.65112434635,266400,382.95,1764.60112434635,70584.0449738539,0.484042982887892
"75",NA,"CORONA","2018-Q2",487250,"2018-04-01",2021.65018119447,389800,560.3375,2581.98768119447,103279.507247779,0.38732411668859
"76",NA,"CORONADO","2018-Q2",1605000,"2018-04-01",6659.30947320087,1284000,1845.75,8505.05947320087,340202.378928035,0.115768336152266
"77",NA,"COSTA MESA","2018-Q2",835000,"2018-04-01",3464.50056705466,668000,960.25,4424.75056705466,176990.022682186,0.150335701644026
"78",NA,"COTO DE CAZA","2018-Q2",1285000,"2018-04-01",5331.59668103621,1028000,1477.75,6809.34668103621,272373.867241448,0.322584491762711
"79",NA,"COTTONWOOD","2018-Q2",253000,"2018-04-01",1049.72292630518,202400,290.95,1340.67292630518,53626.9170522074,0.474938035220282
"80",NA,"COVINA","2018-Q2",521000,"2018-04-01",2161.68238974309,416800,599.15,2760.83238974309,110433.295589723,0.293567175574984
"81",NA,"CRESTLINE","2018-Q2",244950,"2018-04-01",1016.32265137729,195960,281.6925,1298.01515137729,51920.6060550917,0.52741693347707
"82",NA,"CUPERTINO","2018-Q2",2210000,"2018-04-01",9169.51647088718,1768000,2541.5,11711.0164708872,468440.658835487,0.172253826986269
"83",NA,"CYPRESS","2018-Q2",650500,"2018-04-01",2698.99116032222,520400,748.075,3447.06616032222,137882.646412889,0.278006197686367
"84",NA,"DALY CITY","2018-Q2",1e+06,"2018-04-01",4149.10247551456,8e+05,1150,5299.10247551456,211964.099020582,0.101986330384431
"85",NA,"DANA POINT","2018-Q2",1050000,"2018-04-01",4356.55759929029,840000,1207.5,5564.05759929029,222562.303971612,0.172410150600475
"86",NA,"DANVILLE","2018-Q2",1320000,"2018-04-01",5476.81526767922,1056000,1518,6994.81526767922,279792.610707169,0.287386949307783
"87",NA,"DAVIS","2018-Q2",715750,"2018-04-01",2969.72009684955,572600,823.1125,3792.83259684955,151713.303873982,0.242242539358548
"88",NA,"DEL MAR","2018-Q2",1850000,"2018-04-01",7675.83957970193,1480000,2127.5,9803.33957970193,392133.583188077,0.125396341268189
"89",NA,"DESERT HOT SPRINGS","2018-Q2",220000,"2018-04-01",912.802544613203,176000,253,1165.8025446132,46632.1017845281,0.36930251473636
"90",NA,"DIAMOND BAR","2018-Q2",642500,"2018-04-01",2665.7983405181,514000,738.875,3404.6733405181,136186.933620724,0.334389082411926
"91",NA,"DINUBA","2018-Q2",236000,"2018-04-01",979.188184221436,188800,271.4,1250.58818422144,50023.5273688575,0.412485390044537
"92",NA,"DISCOVERY BAY","2018-Q2",6e+05,"2018-04-01",2489.46148530874,480000,690,3179.46148530874,127178.459412349,0.445514580093033
"93",NA,"DIXON","2018-Q2",447000,"2018-04-01",1854.64880655501,357600,514.05,2368.69880655501,94747.9522622003,0.398049901350489
"94",NA,"DOWNEY","2018-Q2",550000,"2018-04-01",2282.00636153301,440000,632.5,2914.50636153301,116580.25446132,0.234236124420946
"95",NA,"DUARTE","2018-Q2",527000,"2018-04-01",2186.57700459617,421600,606.05,2792.62700459617,111705.080183847,0.311604024428053
"96",NA,"DUBLIN","2018-Q2",915000,"2018-04-01",3796.42876509582,732000,1052.25,4848.67876509582,193947.150603833,0.303376519122909
"97",NA,"EAST PALO ALTO","2018-Q2",980000,"2018-04-01",4066.12042600427,784000,1127,5193.12042600427,207724.817040171,0.080868855647153
"98",NA,"EASTVALE","2018-Q2",586500,"2018-04-01",2433.44860188929,469200,674.475,3107.92360188929,124316.944075572,0.465587057775471
"99",NA,"EL CAJON","2018-Q2",530992,"2018-04-01",2203.14022167843,424793.6,610.6408,2813.78102167843,112551.240867137,0.174403701098627
"100",NA,"EL CERRITO","2018-Q2",985000,"2018-04-01",4086.86593838184,788000,1132.75,5219.61593838184,208784.637535274,0.270034176469831
"101",NA,"EL DORADO HILLS","2018-Q2",650000,"2018-04-01",2696.91660908446,520000,747.5,3444.41660908446,137776.664363379,0.507104245770955
"102",NA,"EL MONTE","2018-Q2",530000,"2018-04-01",2199.02431202272,424000,609.5,2808.52431202272,112340.972480909,0.130751800816521
"103",NA,"ELK GROVE","2018-Q2",430000,"2018-04-01",1784.11406447126,344000,494.5,2278.61406447126,91144.5625788504,0.497300324491469
"104",NA,"ENCINITAS","2018-Q2",1015000,"2018-04-01",4211.33901264728,812000,1167.25,5378.58901264728,215143.560505891,0.205939350017823
"105",NA,"ESCONDIDO","2018-Q2",525000,"2018-04-01",2178.27879964514,420000,603.75,2782.02879964514,111281.151985806,0.224721758842048
"106",NA,"EUREKA","2018-Q2",266000,"2018-04-01",1103.66125848687,212800,305.9,1409.56125848687,56382.4503394749,0.333766539928854
"107",NA,"EXETER","2018-Q2",245000,"2018-04-01",1016.53010650107,196000,281.75,1298.28010650107,51931.2042600427,0.471361004031363
"108",NA,"FAIR OAKS","2018-Q2",450000,"2018-04-01",1867.09611398155,360000,517.5,2384.59611398155,95383.8445592621,0.452437304664845
"109",NA,"FAIRFIELD","2018-Q2",475000,"2018-04-01",1970.82367586942,380000,546.25,2517.07367586942,100682.947034777,0.369712079751029
"110",NA,"FALLBROOK","2018-Q2",583000,"2018-04-01",2418.92674322499,466400,670.45,3089.37674322499,123575.069729,0.181794627581022
"111",NA,"FELTON","2018-Q2",662500,"2018-04-01",2748.7803900284,530000,761.875,3510.6553900284,140426.215601136,0.227994555788118
"112",NA,"FOLSOM","2018-Q2",542500,"2018-04-01",2250.88809296665,434000,623.875,2874.76309296665,114990.523718666,0.514171635493913
"113",NA,"FONTANA","2018-Q2",407450,"2018-04-01",1690.55180364841,325960,468.5675,2159.11930364841,86364.7721459363,0.412307615229524
"114",NA,"FORESTHILL","2018-Q2",454000,"2018-04-01",1883.69252388361,363200,522.1,2405.79252388361,96231.7009553444,0.349892471755159
"115",NA,"FORTUNA","2018-Q2",295000,"2018-04-01",1223.9852302768,236000,339.25,1563.2352302768,62529.4092110718,0.358187453955392
"116",NA,"FOUNTAIN VALLEY","2018-Q2",780000,"2018-04-01",3236.29993090136,624000,897,4133.29993090136,165331.997236054,0.202874369729989
"117",NA,"FREMONT","2018-Q2",1175000,"2018-04-01",4875.19540872961,940000,1351.25,6226.44540872961,249057.816349184,0.16525881364674
"118",NA,"FRESNO","2018-Q2",255000,"2018-04-01",1058.02113125621,204000,293.25,1351.27113125621,54050.8452502485,0.449050754562864
"119",NA,"FULLERTON","2018-Q2",626750,"2018-04-01",2600.44997652875,501400,720.7625,3321.21247652875,132848.49906115,0.248373740975616
"120",NA,"GALT","2018-Q2",375000,"2018-04-01",1555.91342831796,3e+05,431.25,1987.16342831796,79486.5371327184,0.445984327092609
"121",NA,"GARDEN GROVE","2018-Q2",605000,"2018-04-01",2510.20699768631,484000,695.75,3205.95699768631,128238.279907452,0.175656355650668
"122",NA,"GARDENA","2018-Q2",539000,"2018-04-01",2236.36623430235,431200,619.85,2856.21623430235,114248.649372094,0.193933775585244
"123",NA,"GILROY","2018-Q2",775000,"2018-04-01",3215.55441852378,620000,891.25,4106.80441852378,164272.176740951,0.251626625765922
"124",NA,"GLENDALE","2018-Q2",930000,"2018-04-01",3858.66530222854,744000,1069.5,4928.16530222854,197126.612089142,0.111725196351848
"125",NA,"GLENDORA","2018-Q2",612000,"2018-04-01",2539.25071501491,489600,703.8,3243.05071501491,129722.028600596,0.306534513589434
"126",NA,"GOLD RIVER","2018-Q2",499000,"2018-04-01",2070.40213528177,399200,573.85,2644.25213528177,105770.085411271,0.582565373407151
"127",NA,"GOLETA","2018-Q2",815000,"2018-04-01",3381.51851754437,652000,937.25,4318.76851754437,172750.740701775,0.195236822844585
"128",NA,"GRANITE BAY","2018-Q2",793000,"2018-04-01",3290.23826308305,634400,911.95,4202.18826308305,168087.530523322,0.363030557121334
"129",NA,"GRASS VALLEY","2018-Q2",422500,"2018-04-01",1752.9957959049,338000,485.875,2238.8707959049,89554.8318361961,0.180127685317832
"130",NA,"GROVER BEACH","2018-Q2",520000,"2018-04-01",2157.53328726757,416000,598,2755.53328726757,110221.331490703,0.241622776737613
"131",NA,"HACIENDA HEIGHTS","2018-Q2",660500,"2018-04-01",2740.48218507737,528400,759.575,3500.05718507737,140002.287403095,0.253390588766378
"132",NA,"HALF MOON BAY","2018-Q2",1250000,"2018-04-01",5186.3780943932,1e+06,1437.5,6623.8780943932,264955.123775728,0.244912871344692
"133",NA,"HANFORD","2018-Q2",245000,"2018-04-01",1016.53010650107,196000,281.75,1298.28010650107,51931.2042600427,0.542034971391385
"134",NA,"HAWTHORNE","2018-Q2",730000,"2018-04-01",3028.84480712563,584000,839.5,3868.34480712563,154733.792285025,0.0825694421363624
"135",NA,"HAYWARD","2018-Q2",675000,"2018-04-01",2800.64417097233,540000,776.25,3576.89417097233,143075.766838893,0.21323328112905
"136",NA,"HEALDSBURG","2018-Q2",950000,"2018-04-01",3941.64735173883,760000,1092.5,5034.14735173883,201365.894069553,0.126777953355235
"137",NA,"HEMET","2018-Q2",263250,"2018-04-01",1092.25122667921,210600,302.7375,1394.98872667921,55799.5490671683,0.329621098956018
"138",NA,"HERCULES","2018-Q2",605000,"2018-04-01",2510.20699768631,484000,695.75,3205.95699768631,128238.279907452,0.422872802311905
"139",NA,"HESPERIA","2018-Q2",276000,"2018-04-01",1145.15228324202,220800,317.4,1462.55228324202,58502.0913296807,0.434264759701624
"140",NA,"HIDDEN VALLEY LAKE","2018-Q2",334000,"2018-04-01",1385.80022682186,267200,384.1,1769.90022682186,70796.0090728745,0.482984339183828
"141",NA,"HIGHLAND","2018-Q2",330000,"2018-04-01",1369.2038169198,264000,379.5,1748.7038169198,69948.1526767922,0.442626494110298
"142",NA,"HILLSBOROUGH","2018-Q2",4258667,"2018-04-01",17669.6457920922,3406933.6,4897.46705,22567.1128420922,902684.513683687,0
"143",NA,"HOLLISTER","2018-Q2",565800,"2018-04-01",2347.56218064614,452640,650.67,2998.23218064614,119929.287225846,0.28067486152756
"144",NA,"HUNTINGTON BEACH","2018-Q2",785888,"2018-04-01",3260.72984627719,628710.4,903.7712,4164.50104627719,166580.041851087,0.234808106629339
"145",NA,"IMPERIAL BEACH","2018-Q2",610000,"2018-04-01",2530.95251006388,488000,701.5,3232.45251006388,129298.100402555,0.0917114558506311
"146",NA,"INDIAN WELLS","2018-Q2",735500,"2018-04-01",3051.66487074096,588400,845.825,3897.48987074096,155899.594829638,0.329745456897574
"147",NA,"INDIO","2018-Q2",320762.5,"2018-04-01",1330.87648280224,256610,368.876875,1699.75335780224,67990.1343120896,0.414249957900872
"148",NA,"IRVINE","2018-Q2",859000,"2018-04-01",3564.07902646701,687200,987.85,4551.92902646701,182077.16105868,0.242915159201925
"149",NA,"JAMUL","2018-Q2",615000,"2018-04-01",2551.69802244145,492000,707.25,3258.94802244145,130357.920897658,0.525463510826049
"150",NA,"JOSHUA TREE","2018-Q2",193500,"2018-04-01",802.851329012067,154800,222.525,1025.37632901207,41015.0531604827,0.538470398778377
"151",NA,"KELSEYVILLE","2018-Q2",3e+05,"2018-04-01",1244.73074265437,240000,345,1589.73074265437,63589.2297061747,0.41424685508591
"152",NA,"KINGSBURG","2018-Q2",272500,"2018-04-01",1130.63042457772,218000,313.375,1444.00542457772,57760.2169831087,0.541933887402827
"153",NA,"LA HABRA","2018-Q2",536000,"2018-04-01",2223.9189268758,428800,616.4,2840.3189268758,113612.757075032,0.280660865648205
"154",NA,"LA MESA","2018-Q2",544000,"2018-04-01",2257.11174667992,435200,625.6,2882.71174667992,115308.469867197,0.223200526149598
"155",NA,"LA MIRADA","2018-Q2",604500,"2018-04-01",2508.13244644855,483600,695.175,3203.30744644855,128132.297857942,0.313560775629516
"156",NA,"LA PUENTE","2018-Q2",470000,"2018-04-01",1950.07816349184,376000,540.5,2490.57816349184,99623.1265396737,0.265507356249067
"157",NA,"LA QUINTA","2018-Q2",460000,"2018-04-01",1908.5871387367,368000,529,2437.5871387367,97503.4855494679,0.434404386828444
"158",NA,"LA VERNE","2018-Q2",675000,"2018-04-01",2800.64417097233,540000,776.25,3576.89417097233,143075.766838893,0.253909367247453
"159",NA,"LADERA RANCH","2018-Q2",790000,"2018-04-01",3277.7909556565,632000,908.5,4186.2909556565,167451.63822626,0.457578276031304
"160",NA,"LAFAYETTE","2018-Q2",1600012,"2018-04-01",6638.613750053,1280009.6,1840.0138,8478.627550053,339145.10200212,0.256306764654475
"161",NA,"LAGUNA BEACH","2018-Q2",1800000,"2018-04-01",7468.38445592621,1440000,2070,9538.38445592621,381535.378237048,0.199400947902143
"162",NA,"LAGUNA HILLS","2018-Q2",690000,"2018-04-01",2862.88070810505,552000,793.5,3656.38070810505,146255.228324202,0.335345860090861
"163",NA,"LAGUNA NIGUEL","2018-Q2",805000,"2018-04-01",3340.02749278922,644000,925.75,4265.77749278922,170631.099711569,0.302132442187908
"164",NA,"LAKE ARROWHEAD","2018-Q2",395000,"2018-04-01",1638.89547782825,316000,454.25,2093.14547782825,83725.8191131301,0.433960440816612
"165",NA,"LAKE ELSINORE","2018-Q2",370000,"2018-04-01",1535.16791594039,296000,425.5,1960.66791594039,78426.7166376155,0.416783701028771
"166",NA,"LAKE FOREST","2018-Q2",698000,"2018-04-01",2896.07352790916,558400,802.7,3698.77352790916,147950.941116367,0.314338861136835
"167",NA,"LAKESIDE","2018-Q2",524000,"2018-04-01",2174.12969716963,419200,602.6,2776.72969716963,111069.187886785,0.287136000238025
"168",NA,"LAKEWOOD","2018-Q2",575000,"2018-04-01",2385.73392342087,460000,661.25,3046.98392342087,121879.356936835,0.310111608997105
"169",NA,"LANCASTER","2018-Q2",280000,"2018-04-01",1161.74869314408,224000,322,1483.74869314408,59349.9477257631,0.446264320544499
"170",NA,"LATHROP","2018-Q2",399900,"2018-04-01",1659.22607995827,319920,459.885,2119.11107995827,84764.4431983309,0.385682631692685
"171",NA,"LEMON GROVE","2018-Q2",460000,"2018-04-01",1908.5871387367,368000,529,2437.5871387367,97503.4855494679,0.251859888164375
"172",NA,"LEMOORE","2018-Q2",239000,"2018-04-01",991.63549164798,191200,274.85,1266.48549164798,50659.4196659192,0.526201532751722
"173",NA,"LINCOLN","2018-Q2",465000,"2018-04-01",1929.33265111427,372000,534.75,2464.08265111427,98563.3060445708,0.409339418110513
"174",NA,"LITTLEROCK","2018-Q2",282990,"2018-04-01",1174.15450954587,226392,325.4385,1499.59300954587,59983.7203818346,0.498423454830603
"175",NA,"LIVERMORE","2018-Q2",810000,"2018-04-01",3360.77300516679,648000,931.5,4292.27300516679,171690.920206672,0.335140239540722
"176",NA,"LODI","2018-Q2",339500,"2018-04-01",1408.62029043719,271600,390.425,1799.04529043719,71961.8116174877,0.371900177767566
"177",NA,"LOMPOC","2018-Q2",350000,"2018-04-01",1452.1858664301,280000,402.5,1854.6858664301,74187.4346572038,0.339754614421983
"178",NA,"LONG BEACH","2018-Q2",565000,"2018-04-01",2344.24289866573,452000,649.75,2993.99289866573,119759.715946629,0.227313847083139
"179",NA,"LOOMIS","2018-Q2",660000,"2018-04-01",2738.40763383961,528000,759,3497.40763383961,139896.305353584,0.297978478921936
"180",NA,"LOS ALTOS","2018-Q2",3220000,"2018-04-01",13360.1099711569,2576000,3703,17063.1099711569,682524.398846275,0
"181",NA,"LOS ANGELES","2018-Q2",610000,"2018-04-01",2530.95251006388,488000,701.5,3232.45251006388,129298.100402555,0.205070275968937
"182",NA,"LOS BANOS","2018-Q2",336990,"2018-04-01",1398.20604322365,269592,387.5385,1785.74454322365,71429.7817289461,0.292625415220541
"183",NA,"LOS GATOS","2018-Q2",1750000,"2018-04-01",7260.92933215048,1400000,2012.5,9273.42933215048,370937.173286019,0.240172824983499
"184",NA,"LOS OSOS","2018-Q2",589950,"2018-04-01",2447.76300542981,471960,678.4425,3126.20550542981,125048.220217193,0.224295335033895
"185",NA,"MADERA","2018-Q2",250000,"2018-04-01",1037.27561887864,2e+05,287.5,1324.77561887864,52991.0247551456,0.443548987437512
"186",NA,"MANHATTAN BEACH","2018-Q2",2400000,"2018-04-01",9957.84594123494,1920000,2760,12717.8459412349,508713.837649398,0
"187",NA,"MANTECA","2018-Q2",401500,"2018-04-01",1665.8646439191,321200,461.725,2127.5896439191,85103.5857567638,0.390807093677591
"188",NA,"MARINA","2018-Q2",592500,"2018-04-01",2458.34321674238,474000,681.375,3139.71821674238,125588.728669695,0.15846377638401
"189",NA,"MARIPOSA","2018-Q2",310000,"2018-04-01",1286.22176740951,248000,356.5,1642.72176740951,65708.8706963805,0.270732967314462
"190",NA,"MARTINEZ","2018-Q2",590000,"2018-04-01",2447.97046055359,472000,678.5,3126.47046055359,125058.818422144,0.344199745289302
"191",NA,"MARYSVILLE","2018-Q2",250950,"2018-04-01",1041.21726623038,200760,288.5925,1329.80976623038,53192.3906492152,0.419544714634693
"192",NA,"MCKINLEYVILLE","2018-Q2",332000,"2018-04-01",1377.50202187083,265600,381.8,1759.30202187083,70372.0808748334,0.387185155872327
"193",NA,"MENIFEE","2018-Q2",365500,"2018-04-01",1516.49695480057,292400,420.325,1936.82195480057,77472.8781920229,0.400138414953279
"194",NA,"MENLO PARK","2018-Q2",2451000,"2018-04-01",10169.4501674862,1960800,2818.65,12988.1001674862,519524.006699447,0
