,RegionSalesCar,2014 Q1,2013 Q4,Quarter_Rev,2013 Q4,principal,pmt,t_i,pti,min_inc,HAI
1,CA SFH (SAAR),418570,432240,r,350450,334856,1688.7169,481.3555,2170.0724,86802.89599,0.331595378
2,CA Condo/Townhomes,346850,345170,r,283320,277480,1399.363205,398.8775,1798.240705,71929.6282,0.409569076
3,Los Angeles Metropolitan Area,391330,396410,NA,334250,313064,1578.817365,450.0295,2028.846865,81153.87459,0.345564771
4,Inland Empire,266410,263590,NA,216720,213128,1074.828749,306.3715,1381.200249,55248.00994,0.472562717
5,S.F. Bay Area,679780,674570,r,593890,543824,2742.566295,781.747,3524.313295,140972.5318,0.233348979
6,United States,191100,196900,,176400,152880,770.991231,219.765,990.756231,39630.24924,0.607834907
7,Alameda,632630,626470,NA,541980,506104,2552.340044,727.5245,3279.864544,131194.5818,0.22483566
8,Contra-Costa,438490,451440,r,360550,350792,1769.083961,504.2635,2273.347461,90933.89843,0.423907472
9,Marin,994620,935710,NA,858550,795696,4012.785443,1143.813,5156.598443,206263.9377,0.148163823
10,Napa,506940,494120,NA,432000,405552,2045.24487,582.981,2628.22587,105129.0348,0.284385639
11,San Francisco,974770,873260,NA,744810,779816,3932.700797,1120.9855,5053.686297,202147.4519,0.126678798
12,San Mateo,1045500,935000,NA,814000,836400,4218.060345,1202.325,5420.385345,216815.4138,0.144886351
13,Santa Clara,808000,775000,NA,705000,646400,3259.868732,929.2,4189.068732,167562.7493,0.223565517
14,Solano,298370,289800,NA,242600,238696,1203.771081,343.1255,1546.896581,61875.86324,0.527001607
15,Sonoma,479750,466330,NA,385490,383800,1935.547059,551.7125,2487.259559,99490.38238,0.28568834
16,Los Angeles,406210,423310,NA,345540,324968,1638.850591,467.1415,2105.992091,84239.68364,0.309346179
17,Orange County,669780,666290,NA,600150,535824,2702.221385,770.247,3472.468385,138898.7354,0.20545468
18,Riverside County,309190,303980,r,251960,247352,1247.424274,355.5685,1602.992774,64119.71095,0.416752089
19,San Bernardino,188520,193650,NA,157420,150816,760.5822442,216.798,977.3802442,39095.20977,0.607780512
20,San Diego,483030,476790,NA,412320,386424,1948.78019,555.4845,2504.26469,100170.5876,0.265802971
21,Ventura,549930,538930,NA,461940,439944,2218.687638,632.4195,2851.107138,114044.2855,0.293572764
22,Monterey,477000,422250,NA,336500,381600,1924.452209,548.55,2473.002209,98920.08837,0.232312481
23,San Luis Obispo,476980,471960,NA,409600,381584,1924.371519,548.527,2472.898519,98915.94078,0.235598366
24,Santa Barbara,647890,620790,NA,563660,518312,2613.906377,745.0735,3358.979877,134359.1951,0.182352569
25,Santa Cruz,615000,639000,NA,515000,492000,2481.211968,707.25,3188.461968,127538.4787,0.197695464
26,Fresno,189720,188140,NA,157470,151776,765.4236334,218.178,983.6016334,39344.06534,0.544457226
27,Kings County,173570,170870,NA,151820,138856,700.2666037,199.6055,899.8721037,35994.88415,0.63948791
28,Madera,193570,157140,NA,127140,154856,780.9564238,222.6055,1003.561924,40142.47695,0.539345329
29,Merced,158440,160500,NA,134290,126752,639.2247548,182.206,821.4307548,32857.23019,0.575968905
30,Placer County,366670,362320,NA,309970,293336,1479.326817,421.6705,1900.997317,76039.89267,0.452044473
31,Sacramento,255840,250360,NA,209260,204672,1032.184179,294.216,1326.400179,53056.00715,0.498036528
32,San Benito,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,San Joaquin,237890,NA,NA,NA,190312,959.7650651,273.5735,1233.338565,49333.5426,0.423890675
34,Stanislaus,212050,NA,NA,NA,169640,855.5138175,243.8575,1099.371318,43974.8527,0.463104841
35,Tulare,164000,161200,NA,136340,131200,661.6565248,188.6,850.2565248,34010.26099,0.585431537
36,Amador,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Butte County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,El Dorado County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,Humboldt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,Lake County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Mariposa And Tuolumne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Mendocino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,Shasta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,Siskiyou County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Sutter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,Tehama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,Yolo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,Yuba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
