"","X1","region","Quarter","Price","QuarterEnding","pmt","principal","t_i","pti","min_inc","HAI"
"45",NA,"CAMARILLO","2018-Q3",613500,"2018-07-01",2566.16510915498,490800,705.525,3271.69010915498,130867.604366199,0.362556113739485
"46",NA,"CAMBRIA","2018-Q3",659000,"2018-07-01",2756.48379288204,527200,757.85,3514.33379288204,140573.351715282,0.196168549397146
"47",NA,"CAMERON PARK","2018-Q3",489250,"2018-07-01",2046.44870359262,391400,562.6375,2609.08620359262,104363.448143705,0.423167992282909
"48",NA,"CAMPBELL","2018-Q3",1288000,"2018-07-01",5387.48273935063,1030400,1481.2,6868.68273935063,274747.309574025,0.145016095404637
"49",NA,"CANYON LAKE","2018-Q3",437000,"2018-07-01",1827.89592942254,349600,502.55,2330.44592942254,93217.8371769014,0.415180279123773
"50",NA,"CARLSBAD","2018-Q3",885000,"2018-07-01",3701.80296919667,708000,1017.75,4719.55296919667,188782.118767867,0.243997444919204
"51",NA,"CARMICHAEL","2018-Q3",415000,"2018-07-01",1735.87370871934,332000,477.25,2213.12370871934,88524.9483487737,0.379398081201943
"52",NA,"CARSON","2018-Q3",557500,"2018-07-01",2331.92672918321,446000,641.125,2973.05172918321,118922.069167329,0.295229086750536
"53",NA,"CASTRO VALLEY","2018-Q3",866500,"2018-07-01",3624.42064724171,693200,996.475,4620.89564724171,184835.825889668,0.230343528203702
"54",NA,"CATHEDRAL CITY","2018-Q3",289000,"2018-07-01",1208.83735378287,231200,332.35,1541.18735378287,61647.4941513147,0.397184991001695
"55",NA,"CERES","2018-Q3",309500,"2018-07-01",1294.58533216539,247600,355.925,1650.51033216539,66020.4132866155,0.443029494131171
"56",NA,"CHICO","2018-Q3",340000,"2018-07-01",1422.16159268573,272000,391,1813.16159268573,72526.463707429,0.360137416296743
"57",NA,"CHINO","2018-Q3",473326.5,"2018-07-01",1979.84343853047,378661.2,544.325475,2524.16891353047,100966.756541219,0.376107282505268
"58",NA,"CHINO HILLS","2018-Q3",664950,"2018-07-01",2781.37162075404,531960,764.6925,3546.06412075404,141842.564830162,0.32810182211912
"59",NA,"CHOWCHILLA","2018-Q3",261000,"2018-07-01",1091.71816379698,208800,300.15,1391.86816379698,55674.7265518793,0.377965509988406
"60",NA,"CHULA VISTA","2018-Q3",520000,"2018-07-01",2175.0706711664,416000,598,2773.0706711664,110922.826846656,2.30254307688176
"61",NA,"CITRUS HEIGHTS","2018-Q3",330000,"2018-07-01",1380.33331054791,264000,379.5,1759.83331054791,70393.3324219164,0.400463526019978
"62",NA,"CLAREMONT","2018-Q3",711000,"2018-07-01",2973.99085999868,568800,817.65,3791.64085999868,151665.634399947,0.309196410263646
"63",NA,"CLAYTON","2018-Q3",799000,"2018-07-01",3342.07974281146,639200,918.85,4260.92974281146,170437.189712458,0.392822096453872
"64",NA,"CLEARLAKE","2018-Q3",165000,"2018-07-01",690.166655273955,132000,189.75,879.916655273955,35196.6662109582,0.39705661675381
"65",NA,"CLOVERDALE","2018-Q3",610000,"2018-07-01",2551.52521040674,488000,701.5,3253.02521040674,130121.00841627,0.231577146970014
"66",NA,"CLOVIS","2018-Q3",326000,"2018-07-01",1363.60199769278,260800,374.9,1738.50199769278,69540.0799077114,0.524596163877606
"67",NA,"COACHELLA","2018-Q3",256000,"2018-07-01",1070.80402272808,204800,294.4,1365.20402272808,54608.160909123,0.372365045497393
"68",NA,"COALINGA","2018-Q3",172500,"2018-07-01",721.537866877317,138000,198.375,919.912866877317,36796.5146750927,0.653443563370028
"69",NA,"COARSEGOLD","2018-Q3",288500,"2018-07-01",1206.74593967598,230800,331.775,1538.52093967598,61540.837587039,0.470969079723231
"70",NA,"COLFAX","2018-Q3",364500,"2018-07-01",1524.64088392337,291600,419.175,1943.81588392337,77752.635356935,0.459453259794009
"71",NA,"COLTON","2018-Q3",319000,"2018-07-01",1334.32220019631,255200,366.85,1701.17220019631,68046.8880078525,0.318850403452948
"72",NA,"COMPTON","2018-Q3",404500,"2018-07-01",1691.95401247464,323600,465.175,2157.12901247464,86285.1604989854,0.241546103655926
"73",NA,"CONCORD","2018-Q3",587000,"2018-07-01",2455.32016148977,469600,675.05,3130.37016148977,125214.806459591,0.295852257456968
"74",NA,"COPPEROPOLIS","2018-Q3",378000,"2018-07-01",1581.10906480942,302400,434.7,2015.80906480942,80632.362592377,0.43064042229378
"75",NA,"CORONA","2018-Q3",478040,"2018-07-01",1999.55919931613,382432,549.746,2549.30519931613,101972.207972645,0.39654502819846
"76",NA,"CORONADO","2018-Q3",1708000,"2018-07-01",7144.27058913888,1366400,1964.2,9108.47058913888,364338.823565555,0.108133134310355
"77",NA,"COSTA MESA","2018-Q3",826396,"2018-07-01",3456.67250455621,661116.8,950.3554,4407.02790455621,176281.116182249,0.153182774784781
"78",NA,"COTO DE CAZA","2018-Q3",1275000,"2018-07-01",5333.10597257147,1020000,1466.25,6799.35597257147,271974.238902859,0.324159344583661
"79",NA,"COTTONWOOD","2018-Q3",256000,"2018-07-01",1070.80402272808,204800,294.4,1365.20402272808,54608.160909123,0.469133231842092
"80",NA,"COVINA","2018-Q3",546500,"2018-07-01",2285.91561883162,437200,628.475,2914.39061883162,116575.624753265,0.268081951649274
"81",NA,"CRESTLINE","2018-Q3",220000,"2018-07-01",920.22220703194,176000,253,1173.22220703194,46928.8882812776,0.56928705351225
"82",NA,"CUPERTINO","2018-Q3",1970000,"2018-07-01",8240.17158114965,1576000,2265.5,10505.6715811496,420226.863245986,0.205439865703771
"83",NA,"CYPRESS","2018-Q3",635500,"2018-07-01",2658.18732985817,508400,730.825,3389.01232985817,135560.493194327,0.288840095843139
"84",NA,"DALY CITY","2018-Q3",970000,"2018-07-01",4057.3433673681,776000,1115.5,5172.8433673681,206913.734694724,0.10927049415417
"85",NA,"DANA POINT","2018-Q3",976250,"2018-07-01",4083.48604370423,781000,1122.6875,5206.17354370424,208246.941748169,0.189281956667307
"86",NA,"DANVILLE","2018-Q3",1312500,"2018-07-01",5489.96203058828,1050000,1509.375,6999.33703058828,279973.481223531,0.289629316840089
"87",NA,"DAVIS","2018-Q3",663000,"2018-07-01",2773.21510573717,530400,762.45,3535.66510573717,141426.604229487,0.267921858080648
"88",NA,"DEL MAR","2018-Q3",1595000,"2018-07-01",6671.61100098157,1276000,1834.25,8505.86100098157,340234.440039263,0.151548105015007
"89",NA,"DESERT HOT SPRINGS","2018-Q3",215000,"2018-07-01",899.308065963033,172000,247.25,1146.55806596303,45862.3226385213,0.380682830260278
"90",NA,"DIAMOND BAR","2018-Q3",670000,"2018-07-01",2802.49490323364,536000,770.5,3572.99490323364,142919.796129345,0.309293349597415
"91",NA,"DINUBA","2018-Q3",234500,"2018-07-01",980.873216131773,187600,269.675,1250.54821613177,50021.9286452709,0.414138918731108
"92",NA,"DISCOVERY BAY","2018-Q3",625000,"2018-07-01",2614.26763361347,5e+05,718.75,3333.01763361347,133320.705344539,0.42192627631806
"93",NA,"DIXON","2018-Q3",461000,"2018-07-01",1928.28380655329,368800,530.15,2458.43380655329,98337.3522621317,0.379402407392019
"94",NA,"DOWNEY","2018-Q3",574000,"2018-07-01",2400.94339471061,459200,660.1,3061.04339471061,122441.735788424,0.212844714228063
"95",NA,"DUARTE","2018-Q3",560000,"2018-07-01",2342.38379971767,448000,644,2986.38379971767,119455.351988707,0.278628284756209
"96",NA,"DUBLIN","2018-Q3",906000,"2018-07-01",3789.64236168608,724800,1041.9,4831.54236168608,193261.694467443,0.309914787622255
"97",NA,"EAST PALO ALTO","2018-Q3",1085000,"2018-07-01",4538.36861195298,868000,1247.75,5786.11861195298,231444.744478119,0.0623814303847637
"98",NA,"EASTVALE","2018-Q3",588000,"2018-07-01",2459.50298970355,470400,676.2,3135.70298970355,125428.119588142,0.46280940205929
"99",NA,"EL CAJON","2018-Q3",534900,"2018-07-01",2237.39481155175,427920,615.135,2852.52981155175,114101.19246207,0.17118166468306
"100",NA,"EL CERRITO","2018-Q3",925000,"2018-07-01",3869.11609774793,740000,1063.75,4932.86609774793,197314.643909917,0.308453108991105
"101",NA,"EL DORADO HILLS","2018-Q3",685000,"2018-07-01",2865.23732644036,548000,787.75,3652.98732644036,146119.493057614,0.476255980744313
"102",NA,"EL MONTE","2018-Q3",538000,"2018-07-01",2250.36157901447,430400,618.7,2869.06157901447,114762.463160579,0.126478830336714
"103",NA,"ELK GROVE","2018-Q3",428000,"2018-07-01",1790.2504754985,342400,492.2,2282.4504754985,91298.0190199401,0.499187650469132
"104",NA,"ENCINITAS","2018-Q3",1185900,"2018-07-01",4960.41597872354,948720,1363.785,6324.20097872354,252968.039148941,0.158174592753258
"105",NA,"ESCONDIDO","2018-Q3",535000,"2018-07-01",2237.81309437313,428000,615.25,2853.06309437313,114122.523774925,0.216867126346961
"106",NA,"EUREKA","2018-Q3",290000,"2018-07-01",1213.02018199665,232000,333.5,1546.52018199665,61860.8072798659,0.30263339048954
"107",NA,"EXETER","2018-Q3",190500,"2018-07-01",796.828774725385,152400,219.075,1015.90377472538,40636.1509890154,0.578912118902594
"108",NA,"FAIR OAKS","2018-Q3",425500,"2018-07-01",1779.79340496405,340400,489.325,2269.11840496405,90764.7361985619,0.478632221031645
"109",NA,"FAIRFIELD","2018-Q3",470000,"2018-07-01",1965.92926047733,376000,540.5,2506.42926047733,100257.170419093,0.37421333697955
"110",NA,"FALLBROOK","2018-Q3",615000,"2018-07-01",2572.43935147565,492000,707.25,3279.68935147565,131187.574059026,0.163532176554574
"111",NA,"FELTON","2018-Q3",679750,"2018-07-01",2843.27747831801,543800,781.7125,3624.98997831801,144999.59913272,0.215271290314869
"112",NA,"FOLSOM","2018-Q3",525000,"2018-07-01",2195.98481223531,420000,603.75,2799.73481223531,111989.392489412,0.53215392308171
"113",NA,"FONTANA","2018-Q3",413000,"2018-07-01",1727.50805229178,330400,474.95,2202.45805229178,88098.3220916711,0.403423395210129
"114",NA,"FORESTHILL","2018-Q3",365000,"2018-07-01",1526.73229803026,292000,419.75,1946.48229803026,77859.2919212106,0.453102784066742
"115",NA,"FORTUNA","2018-Q3",312500,"2018-07-01",1307.13381680673,250000,359.375,1666.50881680673,66660.3526722693,0.329761682107277
"116",NA,"FOUNTAIN VALLEY","2018-Q3",8e+05,"2018-07-01",3346.26257102524,640000,920,4266.26257102524,170650.50284101,0.192433605529031
"117",NA,"FREMONT","2018-Q3",1100000,"2018-07-01",4601.1110351597,880000,1265,5866.1110351597,234644.441406388,0.195988153368095
"118",NA,"FRESNO","2018-Q3",255000,"2018-07-01",1066.62119451429,204000,293.25,1359.87119451429,54394.8477805718,0.448986092538302
"119",NA,"FULLERTON","2018-Q3",632000,"2018-07-01",2643.54743110994,505600,726.8,3370.34743110994,134813.897244397,0.244231645012726
"120",NA,"GALT","2018-Q3",358865,"2018-07-01",1501.07064693871,287092,412.69475,1913.76539693871,76550.6158775486,0.468142843832032
"121",NA,"GARDEN GROVE","2018-Q3",612000,"2018-07-01",2559.89086683431,489600,703.8,3263.69086683431,130547.634673372,0.171364273891745
"122",NA,"GARDENA","2018-Q3",580000,"2018-07-01",2426.0403639933,464000,667,3093.0403639933,123721.614559732,0.164028547941829
"123",NA,"GILROY","2018-Q3",775000,"2018-07-01",3241.6918656807,620000,891.25,4132.9418656807,165317.674627228,0.251561552059921
"124",NA,"GLENDALE","2018-Q3",890000,"2018-07-01",3722.71711026558,712000,1023.5,4746.21711026558,189848.684410623,0.123942994782163
"125",NA,"GLENDORA","2018-Q3",591500,"2018-07-01",2474.14288845178,473200,680.225,3154.36788845178,126174.715538071,0.321856233327028
"126",NA,"GOLD RIVER","2018-Q3",518000,"2018-07-01",2166.70501473884,414400,595.7,2762.40501473884,110496.200589554,0.563897433398356
"127",NA,"GOLETA","2018-Q3",834900,"2018-07-01",3492.24327568621,667920,960.135,4452.37827568621,178095.131027449,0.185625183279635
"128",NA,"GRANITE BAY","2018-Q3",760000,"2018-07-01",3178.94944247398,608000,874,4052.94944247398,162117.977698959,0.381745269554828
"129",NA,"GRASS VALLEY","2018-Q3",430000,"2018-07-01",1798.61613192607,344000,494.5,2293.11613192607,91724.6452770426,0.173202056685391
"130",NA,"GROVER BEACH","2018-Q3",506625,"2018-07-01",2119.12534380708,405300,582.61875,2701.74409380708,108069.763752283,0.252578349863145
"131",NA,"HACIENDA HEIGHTS","2018-Q3",625000,"2018-07-01",2614.26763361347,5e+05,718.75,3333.01763361347,133320.705344539,0.279055521215352
"132",NA,"HALF MOON BAY","2018-Q3",1265000,"2018-07-01",5291.27769043366,1012000,1454.75,6746.02769043366,269841.107617346,0.244552758831663
"133",NA,"HANFORD","2018-Q3",233500,"2018-07-01",976.690387917991,186800,268.525,1245.21538791799,49808.6155167196,0.556587894882034
"134",NA,"HAWTHORNE","2018-Q3",710000,"2018-07-01",2969.8080317849,568000,816.5,3786.3080317849,151452.321271396,0.0867829358079198
"135",NA,"HAYWARD","2018-Q3",680000,"2018-07-01",2844.32318537145,544000,782,3626.32318537145,145052.927414858,0.209750546448668
"136",NA,"HEALDSBURG","2018-Q3",853000,"2018-07-01",3567.95246635566,682400,980.95,4548.90246635566,181956.098654226,0.164109981597767
"137",NA,"HEMET","2018-Q3",268000,"2018-07-01",1120.99796129345,214400,308.2,1429.19796129345,57167.9184517382,0.322806544911655
"138",NA,"HERCULES","2018-Q3",569000,"2018-07-01",2380.0292536417,455200,654.35,3034.3792536417,121375.170145668,0.457999271985161
"139",NA,"HESPERIA","2018-Q3",273750,"2018-07-01",1145.0492235227,219000,314.8125,1459.8617235227,58394.4689409079,0.436949390173433
"140",NA,"HIDDEN VALLEY LAKE","2018-Q3",340000,"2018-07-01",1422.16159268573,272000,391,1813.16159268573,72526.463707429,0.472459029899472
"141",NA,"HIGHLAND","2018-Q3",359500,"2018-07-01",1503.72674285447,287600,413.425,1917.15174285447,76686.0697141787,0.406875298765272
"142",NA,"HILLSBOROUGH","2018-Q3",4150000,"2018-07-01",17358.7370871934,3320000,4772.5,22131.2370871934,885249.483487737,0
"143",NA,"HOLLISTER","2018-Q3",559900,"2018-07-01",2341.96551689629,447920,643.885,2985.85051689629,119434.020675851,0.285813453443774
"144",NA,"HUNTINGTON BEACH","2018-Q3",775000,"2018-07-01",3241.6918656807,620000,891.25,4132.9418656807,165317.674627228,0.23959544576277
"145",NA,"IMPERIAL BEACH","2018-Q3",590000,"2018-07-01",2467.86864613111,472000,678.5,3146.36864613111,125854.745845245,0.0986504643391296
"146",NA,"INDIAN WELLS","2018-Q3",625000,"2018-07-01",2614.26763361347,5e+05,718.75,3333.01763361347,133320.705344539,0.387676615714606
"147",NA,"INDIO","2018-Q3",325000,"2018-07-01",1359.419169479,260000,373.75,1733.169169479,69326.7667791601,0.406274733305981
"148",NA,"IRVINE","2018-Q3",850000,"2018-07-01",3555.40398171431,680000,977.5,4532.90398171431,181316.159268573,0.246704585465099
"149",NA,"JAMUL","2018-Q3",622500,"2018-07-01",2603.81056307901,498000,715.875,3319.68556307901,132787.422523161,0.516997092063769
"150",NA,"JOSHUA TREE","2018-Q3",191200,"2018-07-01",799.756754475032,152960,219.88,1019.63675447503,40785.4701790013,0.542607337964613
"151",NA,"KELSEYVILLE","2018-Q3",281250,"2018-07-01",1176.42043512606,225000,323.4375,1499.85793512606,59994.3174050424,0.438187809931453
"152",NA,"KINGSBURG","2018-Q3",257000,"2018-07-01",1074.98685094186,205600,295.55,1370.53685094186,54821.4740376743,0.562753708180834
"153",NA,"LA HABRA","2018-Q3",550000,"2018-07-01",2300.55551757985,440000,632.5,2933.05551757985,117322.220703194,0.265818537173517
"154",NA,"LA MESA","2018-Q3",541000,"2018-07-01",2262.91006365582,432800,622.15,2885.06006365582,115402.402546233,0.225234029204279
"155",NA,"LA MIRADA","2018-Q3",580000,"2018-07-01",2426.0403639933,464000,667,3093.0403639933,123721.614559732,0.334007468049942
"156",NA,"LA PUENTE","2018-Q3",474000,"2018-07-01",1982.66057333245,379200,545.1,2527.76057333245,101110.422933298,0.261337910012095
"157",NA,"LA QUINTA","2018-Q3",425000,"2018-07-01",1777.70199085716,340000,488.75,2266.45199085716,90658.0796342863,0.470246090590937
"158",NA,"LA VERNE","2018-Q3",650000,"2018-07-01",2718.83833895801,520000,747.5,3466.33833895801,138653.53355832,0.273411329191768
"159",NA,"LADERA RANCH","2018-Q3",735000,"2018-07-01",3074.37873712944,588000,845.25,3919.62873712944,156785.149485177,0.49001163075077
"160",NA,"LAFAYETTE","2018-Q3",1337500,"2018-07-01",5594.53273593282,1070000,1538.125,7132.65773593282,285306.309437313,0.291208554698865
"161",NA,"LAGUNA BEACH","2018-Q3",2125000,"2018-07-01",8888.50995428579,1700000,2443.75,11332.2599542858,453290.398171431,0.167794451573644
"162",NA,"LAGUNA HILLS","2018-Q3",739999,"2018-07-01",3095.28869537013,591999.2,850.99885,3946.28754537013,157851.501814805,0.306990881300904
"163",NA,"LAGUNA NIGUEL","2018-Q3",850000,"2018-07-01",3555.40398171431,680000,977.5,4532.90398171431,181316.159268573,0.277934233724089
"164",NA,"LAKE ARROWHEAD","2018-Q3",425000,"2018-07-01",1777.70199085716,340000,488.75,2266.45199085716,90658.0796342863,0.402129101580523
"165",NA,"LAKE ELSINORE","2018-Q3",375000,"2018-07-01",1568.56058016808,3e+05,431.25,1999.81058016808,79992.4232067232,0.409503161518402
"166",NA,"LAKE FOREST","2018-Q3",675000,"2018-07-01",2823.40904430254,540000,776.25,3599.65904430254,143986.361772102,0.330678281506562
"167",NA,"LAKESIDE","2018-Q3",482850,"2018-07-01",2019.67860302442,386280,555.2775,2574.95610302442,102998.244120977,0.325689798583264
"168",NA,"LAKEWOOD","2018-Q3",595000,"2018-07-01",2488.78278720002,476000,684.25,3173.03278720002,126921.311488001,0.288125473072522
"169",NA,"LANCASTER","2018-Q3",294500,"2018-07-01",1231.84290895867,235600,338.675,1570.51790895867,62820.7163583466,0.422843265547869
"170",NA,"LATHROP","2018-Q3",421000,"2018-07-01",1760.97067800203,336800,484.15,2245.12067800203,89804.8271200812,0.350162607121304
"171",NA,"LEMON GROVE","2018-Q3",451111,"2018-07-01",1886.91981834721,360888.8,518.77765,2405.69746834721,96227.8987338883,0.262120279617001
"172",NA,"LEMOORE","2018-Q3",245000,"2018-07-01",1024.79291237648,196000,281.75,1306.54291237648,52261.7164950591,0.517503289801683
"173",NA,"LINCOLN","2018-Q3",455000,"2018-07-01",1903.1868372706,364000,523.25,2426.4368372706,97057.4734908242,0.421408908342193
"174",NA,"LITTLEROCK","2018-Q3",290000,"2018-07-01",1213.02018199665,232000,333.5,1546.52018199665,61860.8072798659,0.488909320596775
"175",NA,"LIVERMORE","2018-Q3",799000,"2018-07-01",3342.07974281146,639200,918.85,4260.92974281146,170437.189712458,0.342356051371596
"176",NA,"LODI","2018-Q3",345000,"2018-07-01",1443.07573375463,276000,396.75,1839.82573375463,73593.0293501853,0.362472760039669
"177",NA,"LOMPOC","2018-Q3",359000,"2018-07-01",1501.63532874758,287200,412.85,1914.48532874758,76579.413149903,0.328315859298933
"178",NA,"LONG BEACH","2018-Q3",586000,"2018-07-01",2451.13733327599,468800,673.9,3125.03733327599,125001.493331039,0.211343889842955
"179",NA,"LOOMIS","2018-Q3",596000,"2018-07-01",2492.9656154138,476800,685.4,3178.3656154138,127134.624616552,0.344648900547434
"180",NA,"LOS ALTOS","2018-Q3",3250000,"2018-07-01",13594.19169479,2600000,3737.5,17331.69169479,693267.667791601,0
"181",NA,"LOS ANGELES","2018-Q3",605000,"2018-07-01",2530.61106933784,484000,695.75,3226.36106933784,129054.442773513,0.207716567893265
"182",NA,"LOS BANOS","2018-Q3",352458,"2018-07-01",1474.27126657302,281966.4,405.3267,1879.59796657302,75183.9186629207,0.2649557579441
"183",NA,"LOS GATOS","2018-Q3",1567000,"2018-07-01",6554.49181099568,1253600,1802.05,8356.54181099568,334261.672439827,0.263752705745247
"184",NA,"LOS OSOS","2018-Q3",605000,"2018-07-01",2530.61106933784,484000,695.75,3226.36106933784,129054.442773513,0.216860756426289
"185",NA,"MADERA","2018-Q3",250125,"2018-07-01",1046.22990697211,200100,287.64375,1333.87365697211,53354.9462788844,0.443533450398315
"186",NA,"MANHATTAN BEACH","2018-Q3",2475000,"2018-07-01",10352.4998291093,1980000,2846.25,13198.7498291093,527949.993164373,0
"187",NA,"MANTECA","2018-Q3",420000,"2018-07-01",1756.78784978825,336000,483,2239.78784978825,89591.51399153,0.367294376904195
"188",NA,"MARINA","2018-Q3",615000,"2018-07-01",2572.43935147565,492000,707.25,3279.68935147565,131187.574059026,0.147995177014903
"189",NA,"MARIPOSA","2018-Q3",315000,"2018-07-01",1317.59088734119,252000,362.25,1679.84088734119,67193.6354936475,0.260515373964915
"190",NA,"MARTINEZ","2018-Q3",622500,"2018-07-01",2603.81056307901,498000,715.875,3319.68556307901,132787.422523161,0.315995868403381
"191",NA,"MARYSVILLE","2018-Q3",245000,"2018-07-01",1024.79291237648,196000,281.75,1306.54291237648,52261.7164950591,0.428916439453892
"192",NA,"MCKINLEYVILLE","2018-Q3",325000,"2018-07-01",1359.419169479,260000,373.75,1733.169169479,69326.7667791601,0.397488718586069
"193",NA,"MENIFEE","2018-Q3",375000,"2018-07-01",1568.56058016808,3e+05,431.25,1999.81058016808,79992.4232067232,0.387218844516966
"194",NA,"MENLO PARK","2018-Q3",1995000,"2018-07-01",8344.74228649419,1596000,2294.25,10638.9922864942,425559.691459767,0.215289705988209
